Linear,162.847,1601.18,16,223110502
Linear,289.042,1795.75,32,348153220
Linear,379.499,1929.92,48,448218420
Linear,463.151,2124.66,64,544934013
Linear,541.622,2263.07,80,639584142
Linear,618.459,2398.93,96,732501695
Linear,682.913,2532.53,112,824031648
Linear,768.872,2772.46,128,913770200
Linear,1345.05,3810.5,255,1570621289
